user_id,product_id,u_p_order_rate,u_p_reorder_rate,u_p_avg_position,u_p_orders_since_last,max_streak,user_reorder_rate,user_unique_products,user_total_products,user_avg_cart_size,user_avg_days_between_orders,user_reordered_products_ratio,product_reorder_rate,avg_pos_incart,p_reduced_feat_1,p_reduced_feat_2,p_reduced_feat_3,department_id,order_dow,order_hour_of_day,days_since_prior_order,hour_reorder_rate,day_reorder_rate,p_days_since_prior_order_reorder_rate,u_days_since_prior_order_reorder_rate,days_since_prior_reorder_rate,order_id,reordered
1,196,0.1571,0.909,1.363,0,7,0.7285,19,70,6.363,17.27,0.6313,0.837,2.826,0.0,0.0,0.0,77,4,0,14,0.08695652,0.13043478,0.07608695,0.24285714,0.18181819,1187899,1.0
1,10258,0.1428,0.9,3.6,0,6,0.7285,19,70,6.363,17.27,0.6313,0.9,3.6,0.0,0.0,0.0,117,4,0,14,0.2,0.4,0.2,0.24285714,0.2,1187899,1.0
1,10326,0.01428,0.0,5.0,6,0,0.7285,19,70,6.363,17.27,0.6313,0.0,5.0,0.0,0.0,0.0,24,4,0,14,0.0,1.0,0.0,0.24285714,0.0,1187899,0.0
1,12427,0.1428,0.9,3.3,1,6,0.7285,19,70,6.363,17.27,0.6313,0.8076,3.191,0.0,0.0,0.0,23,4,0,14,0.115384616,0.115384616,0.07692308,0.24285714,0.1,1187899,0.0
1,13032,0.05713,0.75,6.5,0,2,0.7285,19,70,6.363,17.27,0.6313,0.6665,6.832,0.0,1.0,0.0,121,4,0,14,0.33333334,0.33333334,0.16666667,0.24285714,0.25,1187899,1.0
1,13176,0.02856,0.5,6.0,6,1,0.7285,19,70,6.363,17.27,0.6313,0.7837,4.13,0.0,0.0,0.0,24,4,0,14,0.07755102,0.08979592,0.036734693,0.24285714,0.0,1187899,0.0
1,14084,0.01428,0.0,2.0,10,0,0.7285,19,70,6.363,17.27,0.6313,0.0,2.0,0.0,0.0,0.0,91,4,0,14,1.0,0.0,0.0,0.24285714,0.0,1187899,0.0
1,17122,0.01428,0.0,6.0,6,0,0.7285,19,70,6.363,17.27,0.6313,0.0,6.0,0.0,0.0,0.0,24,4,0,14,0.0,0.33333334,0.0,0.24285714,0.0,1187899,0.0
1,25133,0.1285,0.8887,3.777,0,1,0.7285,19,70,6.363,17.27,0.6313,0.8887,3.777,0.0,0.0,0.0,21,4,0,14,0.22222222,0.44444445,0.22222222,0.24285714,0.22222222,1187899,1.0
1,26088,0.04285,0.6665,5.668,0,2,0.7285,19,70,6.363,17.27,0.6313,0.6665,5.668,0.0,0.0,0.0,23,4,0,14,0.6666667,0.33333334,0.33333334,0.24285714,0.33333334,1187899,1.0
