product_id,order_hour_of_day,hour_reorder_rate
1,11,0.5
1,17,0.5
4,11,1.0
10,18,1.0
13,19,1.0
23,15,1.0
25,17,0.5
25,20,0.5
29,9,0.3333333333333333
29,10,0.6666666666666666
34,14,0.2
34,16,0.4
34,17,0.2
34,19,0.2
36,15,1.0
45,13,0.5
45,14,0.5
49,17,1.0
54,13,0.25
54,14,0.25
54,17,0.25
54,19,0.25
79,8,0.08333333333333333
79,11,0.25
79,13,0.16666666666666666
79,14,0.16666666666666666
79,15,0.08333333333333333
79,16,0.08333333333333333
79,19,0.16666666666666666
95,13,0.6666666666666666
95,16,0.3333333333333333
100,6,0.25
100,10,0.25
100,11,0.25
100,12,0.25
116,7,0.125
116,10,0.375
116,11,0.125
116,17,0.125
116,19,0.125
116,20,0.125
117,8,0.3333333333333333
117,10,0.3333333333333333
117,17,0.3333333333333333
128,7,1.0
130,10,0.25
130,11,0.25
130,13,0.25
130,14,0.25
132,16,1.0
148,15,1.0
158,20,1.0
160,14,0.5
160,18,0.5
162,21,1.0
169,11,1.0
179,19,1.0
193,19,0.6666666666666666
193,20,0.3333333333333333
196,7,0.043478260869565216
196,8,0.08695652173913043
196,9,0.14130434782608695
196,10,0.18478260869565216
196,11,0.17391304347826086
196,12,0.07608695652173914
196,13,0.043478260869565216
196,14,0.09782608695652174
196,15,0.05434782608695652
196,16,0.06521739130434782
196,17,0.021739130434782608
196,20,0.010869565217391304
204,15,1.0
210,11,0.3333333333333333
210,12,0.3333333333333333
210,20,0.3333333333333333
211,20,1.0
226,13,1.0
239,8,1.0
246,10,1.0
248,9,0.2
248,15,0.2
248,17,0.2
248,19,0.2
248,20,0.2
258,10,1.0
260,8,0.15384615384615385
260,10,0.23076923076923078
260,13,0.07692307692307693
260,14,0.23076923076923078
260,15,0.15384615384615385
260,16,0.07692307692307693
260,20,0.07692307692307693
270,6,0.3333333333333333
270,14,0.3333333333333333
270,19,0.3333333333333333
274,5,0.5
274,19,0.5
277,10,1.0
278,14,1.0
287,12,0.5
287,17,0.5
300,13,1.0
311,17,0.5
311,20,0.5
329,12,0.5
329,16,0.5
343,16,0.5
343,18,0.5
365,9,0.3333333333333333
365,13,0.3333333333333333
365,16,0.3333333333333333
377,10,0.5
377,19,0.5
389,14,0.5
389,16,0.5
392,1,1.0
397,10,1.0
401,20,1.0
403,13,0.3333333333333333
403,19,0.3333333333333333
403,20,0.3333333333333333
405,9,0.5
405,11,0.5
406,13,1.0
422,11,1.0
424,8,1.0
429,8,0.5
429,9,0.5
432,15,0.4
432,17,0.2
432,18,0.2
432,20,0.2
436,12,1.0
443,10,1.0
445,14,1.0
449,4,0.5
449,16,0.5
455,19,1.0
459,14,1.0
480,9,1.0
481,12,0.3333333333333333
481,13,0.3333333333333333
481,17,0.3333333333333333
483,18,1.0
500,9,0.3333333333333333
500,11,0.3333333333333333
500,15,0.3333333333333333
513,13,1.0
519,9,0.5
519,18,0.5
546,10,0.5
546,12,0.5
578,10,1.0
588,17,1.0
594,9,0.16666666666666666
594,10,0.16666666666666666
594,12,0.16666666666666666
594,13,0.16666666666666666
594,15,0.3333333333333333
605,13,0.5
605,17,0.5
614,9,1.0
622,11,0.3333333333333333
622,12,0.3333333333333333
622,21,0.3333333333333333
651,0,0.058823529411764705
651,8,0.058823529411764705
651,9,0.058823529411764705
651,10,0.29411764705882354
651,11,0.058823529411764705
651,12,0.11764705882352941
651,13,0.11764705882352941
651,14,0.17647058823529413
651,16,0.058823529411764705
663,16,1.0
683,14,1.0
689,8,1.0
691,8,0.3333333333333333
691,13,0.3333333333333333
691,16,0.3333333333333333
692,9,1.0
694,10,0.2
694,16,0.4
694,17,0.2
694,18,0.2
717,18,1.0
730,14,1.0
781,7,0.5
781,12,0.5
794,15,1.0
810,17,1.0
812,7,0.09090909090909091
812,8,0.18181818181818182
812,9,0.36363636363636365
812,12,0.2727272727272727
812,17,0.09090909090909091
831,10,1.0
890,8,0.16666666666666666
890,9,0.16666666666666666
890,11,0.16666666666666666
890,12,0.16666666666666666
890,15,0.16666666666666666
890,18,0.16666666666666666
907,13,0.5
907,14,0.5
928,17,1.0
939,7,0.08333333333333333
939,9,0.25
939,10,0.08333333333333333
939,14,0.16666666666666666
939,15,0.3333333333333333
939,17,0.08333333333333333
989,11,1.0
1000,12,1.0
1005,16,0.5
1005,18,0.5
1006,16,0.3333333333333333
1006,18,0.6666666666666666
1022,13,1.0
1025,10,0.25
1025,16,0.5
1025,17,0.125
1025,20,0.125
1063,15,1.0
1069,1,0.09090909090909091
1069,3,0.18181818181818182
1069,4,0.09090909090909091
1069,5,0.09090909090909091
1069,6,0.09090909090909091
1069,11,0.09090909090909091
1069,14,0.09090909090909091
1069,16,0.09090909090909091
1069,17,0.09090909090909091
1069,18,0.09090909090909091
1073,7,0.2
1073,9,0.4
1073,12,0.2
1073,16,0.2
1076,11,1.0
1082,11,1.0
1090,9,0.4
1090,12,0.2
1090,17,0.2
1090,21,0.2
1094,10,1.0
1104,17,1.0
1117,9,0.3333333333333333
1117,12,0.3333333333333333
1117,17,0.3333333333333333
1138,13,1.0
1139,15,1.0
1158,9,0.14285714285714285
1158,11,0.14285714285714285
1158,12,0.2857142857142857
1158,13,0.14285714285714285
1158,17,0.14285714285714285
1158,20,0.14285714285714285
1160,9,0.05555555555555555
1160,10,0.1111111111111111
1160,11,0.1111111111111111
1160,12,0.16666666666666666
1160,14,0.16666666666666666
1160,15,0.2222222222222222
1160,16,0.16666666666666666
1170,17,1.0
1181,11,1.0
1183,11,1.0
1187,7,1.0
1194,15,0.5
1194,19,0.5
1200,15,1.0
1203,16,1.0
1208,1,0.2
1208,6,0.2
1208,10,0.2
1208,15,0.2
1208,21,0.2
1213,4,1.0
1215,12,1.0
1216,19,1.0
1217,10,0.5
1217,14,0.5
1234,14,1.0
1241,12,1.0
1244,10,0.3333333333333333
1244,13,0.3333333333333333
1244,21,0.3333333333333333
1250,19,1.0
1261,8,0.3333333333333333
1261,11,0.3333333333333333
1261,13,0.3333333333333333
1263,7,0.14285714285714285
1263,10,0.2857142857142857
1263,12,0.14285714285714285
1263,17,0.14285714285714285
1263,19,0.2857142857142857
1295,10,1.0
1308,14,1.0
1319,10,0.6666666666666666
1319,11,0.3333333333333333
1322,6,1.0
1330,8,0.125
1330,11,0.625
1330,12,0.125
1330,13,0.125
1347,12,0.5
1347,19,0.5
1360,9,0.2
1360,11,0.2
1360,17,0.2
1360,18,0.2
1360,20,0.2
1374,15,0.3333333333333333
1374,17,0.3333333333333333
1374,18,0.3333333333333333
1376,11,1.0
1377,12,0.3333333333333333
1377,16,0.3333333333333333
1377,22,0.3333333333333333
1392,8,0.3333333333333333
1392,11,0.3333333333333333
1392,14,0.3333333333333333
1398,0,0.3333333333333333
1398,16,0.3333333333333333
1398,19,0.3333333333333333
1406,20,1.0
1408,13,1.0
1416,21,1.0
1439,12,1.0
1440,15,1.0
1447,14,1.0
1461,11,0.5
1461,18,0.5
1463,8,0.07692307692307693
1463,9,0.07692307692307693
1463,10,0.15384615384615385
1463,11,0.07692307692307693
1463,12,0.15384615384615385
1463,13,0.07692307692307693
1463,14,0.15384615384615385
1463,15,0.07692307692307693
1463,20,0.15384615384615385
1468,12,1.0
1492,1,0.5
1492,3,0.5
1511,11,1.0
1512,18,1.0
1516,8,0.25
1516,12,0.25
1516,13,0.25
1516,17,0.25
1529,0,0.1
1529,7,0.1
1529,8,0.1
1529,11,0.1
1529,12,0.1
1529,15,0.2
1529,16,0.1
1529,17,0.1
1529,20,0.1
1540,16,0.5
1540,19,0.5
1541,16,1.0
1545,7,0.058823529411764705
1545,9,0.11764705882352941
1545,10,0.17647058823529413
1545,11,0.058823529411764705
1545,12,0.11764705882352941
1545,13,0.11764705882352941
1545,14,0.058823529411764705
1545,15,0.17647058823529413
1545,16,0.058823529411764705
1545,17,0.058823529411764705
1546,11,0.5
1546,14,0.5
1556,10,0.3333333333333333
1556,14,0.3333333333333333
1556,22,0.3333333333333333
1559,9,0.25
1559,10,0.375
1559,11,0.25
1559,12,0.125
1577,10,0.5
1577,15,0.5
1592,11,1.0
1614,13,1.0
1618,22,1.0
1643,15,1.0
1654,10,0.3333333333333333
1654,11,0.3333333333333333
1654,18,0.3333333333333333
1667,12,1.0
1674,1,0.16666666666666666
1674,12,0.16666666666666666
1674,14,0.3333333333333333
1674,16,0.16666666666666666
1674,20,0.16666666666666666
1689,8,0.16666666666666666
1689,11,0.16666666666666666
1689,13,0.16666666666666666
1689,14,0.16666666666666666
1689,18,0.16666666666666666
1689,21,0.16666666666666666
1695,11,0.16666666666666666
1695,12,0.16666666666666666
1695,14,0.16666666666666666
1695,17,0.3333333333333333
1695,22,0.16666666666666666
1700,9,1.0
1712,8,0.5
1712,10,0.5
1713,14,1.0
1743,18,1.0
1747,9,0.25
1747,10,0.25
1747,11,0.25
1747,17,0.25
1752,15,1.0
1757,11,1.0
1774,12,0.3333333333333333
1774,13,0.16666666666666666
1774,14,0.16666666666666666
1774,19,0.16666666666666666
1774,22,0.16666666666666666
1782,1,0.027777777777777776
1782,7,0.027777777777777776
1782,9,0.1388888888888889
1782,10,0.1388888888888889
1782,11,0.08333333333333333
1782,12,0.1388888888888889
1782,13,0.1111111111111111
1782,14,0.1111111111111111
1782,15,0.16666666666666666
1782,16,0.027777777777777776
1782,17,0.027777777777777776
1783,11,1.0
1787,15,0.5
1787,18,0.5
1818,11,1.0
1819,15,0.3333333333333333
1819,16,0.3333333333333333
1819,18,0.3333333333333333
1830,10,1.0
1831,4,0.034482758620689655
1831,6,0.034482758620689655
1831,8,0.034482758620689655
1831,9,0.10344827586206896
1831,10,0.06896551724137931
1831,11,0.06896551724137931
1831,12,0.1724137931034483
1831,13,0.1724137931034483
1831,14,0.06896551724137931
1831,15,0.13793103448275862
1831,16,0.06896551724137931
1831,17,0.034482758620689655
1832,13,1.0
1845,10,1.0
1866,13,1.0
1870,10,0.3333333333333333
1870,12,0.3333333333333333
1870,17,0.3333333333333333
1890,13,0.125
1890,14,0.125
1890,16,0.25
1890,17,0.125
1890,18,0.125
1890,20,0.125
1890,23,0.125
1915,16,1.0
1924,9,1.0
1938,10,1.0
1940,8,0.047619047619047616
1940,11,0.047619047619047616
1940,12,0.09523809523809523
1940,14,0.09523809523809523
1940,15,0.23809523809523808
1940,16,0.14285714285714285
1940,17,0.09523809523809523
1940,18,0.047619047619047616
1940,19,0.047619047619047616
1940,20,0.09523809523809523
1940,23,0.047619047619047616
1942,9,1.0
1950,13,1.0
1957,21,1.0
1958,8,1.0
1979,16,1.0
1987,12,0.5
1987,16,0.5
1991,11,0.3333333333333333
1991,17,0.3333333333333333
1991,18,0.3333333333333333
1999,11,0.2
1999,12,0.2
1999,13,0.2
1999,15,0.2
1999,19,0.2
2002,9,0.2
2002,10,0.2
2002,11,0.4
2002,15,0.2
2012,15,1.0
2014,12,0.6666666666666666
2014,13,0.3333333333333333
2016,16,1.0
2043,14,1.0
2063,13,1.0
2064,1,1.0
2067,8,0.5
2067,10,0.5
2078,0,0.18181818181818182
2078,7,0.09090909090909091
2078,8,0.09090909090909091
2078,9,0.18181818181818182
2078,10,0.09090909090909091
2078,14,0.09090909090909091
2078,17,0.18181818181818182
2078,23,0.09090909090909091
2086,8,0.1
2086,9,0.15
2086,10,0.3
2086,11,0.05
2086,12,0.1
2086,13,0.05
2086,14,0.05
2086,15,0.05
2086,16,0.05
2086,21,0.05
2086,22,0.05
2088,11,1.0
2091,10,1.0
2092,8,0.3333333333333333
2092,10,0.3333333333333333
2092,17,0.3333333333333333
2097,6,0.25
2097,14,0.25
2097,18,0.25
2097,19,0.25
2099,9,0.3333333333333333
2099,10,0.3333333333333333
2099,15,0.3333333333333333
2120,8,0.5
2120,14,0.5
2122,11,1.0
2138,9,0.5
2138,11,0.5
2151,17,1.0
2164,12,1.0
2180,8,0.3333333333333333
2180,10,0.3333333333333333
2180,17,0.3333333333333333
2186,14,0.5
2186,16,0.5
2187,7,0.25
2187,8,0.5
2187,9,0.25
2189,10,1.0
2192,12,0.25
2192,13,0.125
2192,14,0.125
2192,16,0.25
2192,17,0.25
2197,8,0.5
2197,13,0.5
2205,12,1.0
2210,11,0.5
2210,19,0.5
2225,17,1.0
2228,7,0.1
2228,9,0.1
2228,11,0.1
2228,12,0.3
2228,15,0.1
2228,16,0.2
2228,20,0.1
2229,12,0.16666666666666666
2229,16,0.3333333333333333
2229,18,0.16666666666666666
2229,20,0.16666666666666666
2229,22,0.16666666666666666
2238,9,0.5
2238,17,0.5
2243,13,1.0
2272,9,0.3333333333333333
2272,14,0.3333333333333333
2272,17,0.3333333333333333
2295,5,0.1
2295,10,0.1
2295,11,0.2
2295,12,0.1
2295,16,0.2
2295,19,0.2
2295,20,0.1
2309,19,1.0
2314,11,0.3333333333333333
2314,13,0.16666666666666666
2314,14,0.16666666666666666
2314,19,0.3333333333333333
2326,8,0.16666666666666666
2326,12,0.16666666666666666
2326,14,0.16666666666666666
2326,15,0.16666666666666666
2326,20,0.3333333333333333
2335,10,1.0
2338,11,1.0
2350,10,1.0
2351,13,1.0
2361,11,1.0
2371,13,1.0
2377,17,1.0
2389,18,1.0
2390,10,0.1111111111111111
2390,11,0.1111111111111111
2390,12,0.1111111111111111
2390,14,0.1111111111111111
2390,16,0.3333333333333333
2390,18,0.1111111111111111
2390,21,0.1111111111111111
2391,12,0.3333333333333333
