product_id,order_dow,day_reorder_rate
1,6,1.0
4,0,1.0
10,4,1.0
13,4,1.0
23,1,1.0
25,5,0.5
25,6,0.5
29,0,0.3333333333333333
29,2,0.6666666666666666
34,0,0.4
34,1,0.2
34,2,0.2
34,6,0.2
36,1,1.0
45,1,0.25
45,2,0.25
45,4,0.25
45,5,0.25
49,0,1.0
54,0,0.25
54,1,0.25
54,2,0.25
54,3,0.25
79,0,0.08333333333333333
79,1,0.4166666666666667
79,3,0.16666666666666666
79,4,0.16666666666666666
79,5,0.08333333333333333
79,6,0.08333333333333333
95,4,0.3333333333333333
95,5,0.3333333333333333
95,6,0.3333333333333333
100,0,0.5
100,2,0.25
100,6,0.25
116,0,0.125
116,1,0.125
116,2,0.125
116,3,0.375
116,4,0.25
117,1,0.3333333333333333
117,2,0.3333333333333333
117,5,0.3333333333333333
128,4,1.0
130,1,0.5
130,2,0.5
132,5,1.0
148,2,1.0
158,0,0.5
158,3,0.5
160,1,0.5
160,5,0.5
162,5,1.0
169,1,1.0
179,4,1.0
193,1,0.3333333333333333
193,3,0.6666666666666666
196,0,0.043478260869565216
196,1,0.29347826086956524
196,2,0.2391304347826087
196,3,0.17391304347826086
196,4,0.13043478260869565
196,5,0.09782608695652174
196,6,0.021739130434782608
204,5,1.0
210,0,0.3333333333333333
210,1,0.6666666666666666
211,0,1.0
226,0,1.0
239,6,1.0
246,3,1.0
248,0,0.2
248,1,0.4
248,3,0.2
248,4,0.2
258,0,1.0
260,0,0.23076923076923078
260,1,0.23076923076923078
260,2,0.07692307692307693
260,3,0.15384615384615385
260,4,0.07692307692307693
260,5,0.23076923076923078
270,3,0.3333333333333333
270,4,0.3333333333333333
270,5,0.3333333333333333
274,1,0.5
274,4,0.5
277,6,1.0
278,1,1.0
287,1,1.0
300,1,1.0
311,1,1.0
329,0,0.5
329,3,0.5
343,2,0.5
343,6,0.5
365,4,0.3333333333333333
365,6,0.6666666666666666
377,2,0.5
377,5,0.5
389,0,1.0
392,1,1.0
397,6,1.0
401,3,1.0
403,0,0.3333333333333333
403,3,0.3333333333333333
403,6,0.3333333333333333
405,0,0.5
405,2,0.5
406,4,1.0
422,1,1.0
424,1,1.0
429,1,1.0
432,0,0.2
432,1,0.4
432,2,0.2
432,4,0.2
436,2,1.0
443,5,1.0
445,3,1.0
449,0,1.0
455,1,1.0
459,3,1.0
480,2,1.0
481,0,0.3333333333333333
481,1,0.3333333333333333
481,5,0.3333333333333333
483,0,1.0
500,1,0.6666666666666666
500,4,0.3333333333333333
513,3,1.0
519,0,0.5
519,3,0.5
546,1,1.0
578,2,1.0
588,2,1.0
