user_id,product_id,days_since_prior_order,days_since_prior_reorder_rate
1,196,0.0,0.18181818181818182
1,196,14.0,0.18181818181818182
1,196,15.0,0.09090909090909091
1,196,19.0,0.09090909090909091
1,196,20.0,0.09090909090909091
1,196,21.0,0.09090909090909091
1,196,28.0,0.09090909090909091
1,196,29.0,0.09090909090909091
1,196,30.0,0.09090909090909091
1,10258,0.0,0.1
1,10258,14.0,0.2
1,10258,15.0,0.1
1,10258,19.0,0.1
1,10258,20.0,0.1
1,10258,21.0,0.1
1,10258,28.0,0.1
1,10258,29.0,0.1
1,10258,30.0,0.1
1,10326,28.0,1.0
1,12427,0.0,0.2
1,12427,14.0,0.1
1,12427,15.0,0.1
1,12427,19.0,0.1
1,12427,20.0,0.1
1,12427,21.0,0.1
1,12427,28.0,0.1
1,12427,29.0,0.1
1,12427,30.0,0.1
1,13032,14.0,0.25
1,13032,15.0,0.25
1,13032,20.0,0.25
1,13032,30.0,0.25
1,13176,15.0,0.5
1,13176,28.0,0.5
1,14084,0.0,1.0
1,17122,28.0,1.0
1,25133,0.0,0.1111111111111111
1,25133,14.0,0.2222222222222222
1,25133,19.0,0.1111111111111111
1,25133,20.0,0.1111111111111111
1,25133,21.0,0.1111111111111111
1,25133,28.0,0.1111111111111111
1,25133,29.0,0.1111111111111111
1,25133,30.0,0.1111111111111111
1,26088,0.0,0.3333333333333333
1,26088,14.0,0.3333333333333333
1,26088,15.0,0.3333333333333333
1,26405,0.0,0.3333333333333333
1,26405,14.0,0.3333333333333333
1,26405,29.0,0.3333333333333333
1,27845,14.0,1.0
1,30450,21.0,1.0
1,35951,30.0,1.0
1,38928,14.0,0.5
1,38928,30.0,0.5
1,39657,14.0,0.5
1,39657,30.0,0.5
1,41787,28.0,1.0
1,46149,0.0,0.25
1,46149,14.0,0.5
1,46149,30.0,0.25
1,49235,0.0,0.3333333333333333
1,49235,14.0,0.6666666666666666
2,23,27.0,1.0
2,79,30.0,1.0
2,1559,6.0,0.16666666666666666
2,1559,8.0,0.3333333333333333
2,1559,13.0,0.16666666666666666
2,1559,28.0,0.16666666666666666
2,1559,30.0,0.16666666666666666
2,1757,30.0,1.0
2,2002,6.0,0.25
2,2002,8.0,0.25
2,2002,27.0,0.25
2,2002,30.0,0.25
2,2361,30.0,1.0
2,2573,6.0,0.5
2,2573,13.0,0.5
2,3151,28.0,1.0
2,4071,30.0,1.0
2,4957,13.0,1.0
2,5212,27.0,1.0
2,5322,8.0,1.0
2,5450,8.0,0.5
2,5450,30.0,0.5
2,5699,30.0,1.0
2,5869,30.0,1.0
2,5907,8.0,1.0
2,7781,3.0,0.3333333333333333
2,7781,8.0,0.3333333333333333
2,7781,13.0,0.3333333333333333
2,7963,13.0,0.5
2,7963,30.0,0.5
2,8138,10.0,1.0
2,8296,30.0,1.0
2,8479,10.0,1.0
2,9124,8.0,1.0
2,9387,30.0,1.0
2,9681,8.0,0.5
2,9681,13.0,0.5
2,10305,28.0,1.0
2,11913,30.0,1.0
2,12000,0.0,0.2
2,12000,6.0,0.2
2,12000,8.0,0.2
2,12000,13.0,0.2
2,12000,14.0,0.2
2,12007,30.0,1.0
2,12258,28.0,1.0
2,12324,30.0,1.0
2,13176,0.0,1.0
2,13351,8.0,0.5
2,13351,28.0,0.5
2,13640,30.0,1.0
2,13742,8.0,1.0
2,14306,27.0,1.0
2,14553,8.0,1.0
2,15841,8.0,1.0
2,16521,30.0,1.0
2,16589,0.0,0.16666666666666666
2,16589,13.0,0.16666666666666666
2,16589,14.0,0.16666666666666666
2,16589,28.0,0.16666666666666666
2,16589,30.0,0.3333333333333333
2,16797,10.0,1.0
2,17224,8.0,1.0
2,17758,14.0,0.5
2,17758,27.0,0.5
2,17872,6.0,0.3333333333333333
2,17872,8.0,0.3333333333333333
2,17872,13.0,0.3333333333333333
2,18523,6.0,0.16666666666666666
2,18523,8.0,0.16666666666666666
2,18523,13.0,0.3333333333333333
2,18523,28.0,0.16666666666666666
2,18523,30.0,0.16666666666666666
2,18961,8.0,1.0
2,19019,30.0,1.0
2,19051,10.0,0.25
2,19051,13.0,0.25
2,19051,14.0,0.25
2,19051,30.0,0.25
2,19057,30.0,1.0
2,19156,6.0,0.16666666666666666
2,19156,8.0,0.3333333333333333
2,19156,13.0,0.16666666666666666
2,19156,28.0,0.16666666666666666
2,19156,30.0,0.16666666666666666
2,19240,28.0,1.0
2,20084,27.0,1.0
2,20574,0.0,0.5
2,20574,3.0,0.5
2,20785,13.0,1.0
2,21150,8.0,1.0
2,21227,30.0,1.0
2,21329,30.0,1.0
2,21376,8.0,1.0
2,21709,13.0,0.5
2,21709,28.0,0.5
2,22124,8.0,0.5
2,22124,28.0,0.25
2,22124,30.0,0.25
2,22474,0.0,0.3333333333333333
2,22474,8.0,0.3333333333333333
2,22474,30.0,0.3333333333333333
2,22559,8.0,0.5
2,22559,30.0,0.5
2,22825,13.0,0.5
2,22825,30.0,0.5
2,22829,8.0,1.0
2,22963,27.0,0.3333333333333333
2,22963,28.0,0.3333333333333333
2,22963,30.0,0.3333333333333333
2,24768,13.0,1.0
2,24838,30.0,1.0
2,24852,6.0,0.125
2,24852,8.0,0.25
2,24852,13.0,0.25
2,24852,14.0,0.125
2,24852,27.0,0.125
2,24852,30.0,0.125
2,24954,13.0,1.0
2,24990,28.0,1.0
2,26352,30.0,1.0
2,27344,0.0,0.5
2,27344,13.0,0.5
2,27413,13.0,1.0
2,27737,8.0,1.0
2,27966,0.0,0.5
2,27966,13.0,0.5
2,28874,3.0,1.0
2,28918,27.0,1.0
2,30489,0.0,1.0
2,30908,30.0,1.0
2,31612,30.0,1.0
2,31883,30.0,1.0
2,32052,13.0,0.3333333333333333
2,32052,14.0,0.3333333333333333
2,32052,27.0,0.3333333333333333
2,32139,8.0,0.25
2,32139,13.0,0.25
2,32139,14.0,0.25
2,32139,30.0,0.25
2,32792,0.0,0.1
2,32792,3.0,0.1
2,32792,8.0,0.2
2,32792,13.0,0.1
2,32792,14.0,0.1
2,32792,27.0,0.1
2,32792,28.0,0.1
2,32792,30.0,0.2
2,33276,8.0,0.5
2,33276,13.0,0.5
2,33754,8.0,0.2
2,33754,13.0,0.4
2,33754,28.0,0.2
2,33754,30.0,0.2
2,33957,8.0,0.5
2,33957,30.0,0.5
2,34284,30.0,1.0
2,34688,8.0,0.3333333333333333
2,34688,14.0,0.3333333333333333
2,34688,27.0,0.3333333333333333
2,35917,0.0,1.0
2,36287,28.0,1.0
2,36735,8.0,0.3333333333333333
2,36735,13.0,0.3333333333333333
2,36735,28.0,0.3333333333333333
2,37646,8.0,1.0
2,38547,30.0,1.0
2,38656,8.0,1.0
2,39877,30.0,1.0
2,39928,13.0,1.0
2,40198,14.0,0.5
2,40198,27.0,0.5
2,40571,13.0,1.0
2,41787,13.0,0.3333333333333333
2,41787,14.0,0.3333333333333333
2,41787,30.0,0.3333333333333333
2,42342,30.0,1.0
2,42356,28.0,1.0
2,44303,30.0,1.0
2,45066,0.0,0.25
2,45066,13.0,0.25
2,45066,14.0,0.25
2,45066,30.0,0.25
2,45613,8.0,0.6666666666666666
2,45613,30.0,0.3333333333333333
2,45645,30.0,1.0
2,45948,30.0,1.0
2,46676,13.0,1.0
2,46886,14.0,0.5
2,46886,27.0,0.5
2,47144,8.0,1.0
2,47209,6.0,0.125
2,47209,8.0,0.125
2,47209,13.0,0.25
2,47209,14.0,0.125
2,47209,27.0,0.125
2,47209,28.0,0.125
2,47209,30.0,0.125
2,47526,10.0,1.0
2,47553,8.0,1.0
2,47766,0.0,0.25
